count,software
9146,mastodon
1125,peertube
906,pleroma
811,wordpress
462,writefreely
422,misskey
346,pixelfed
333,friendica
151,akkoma
143,funkwhale
131,diaspora
123,owncast
112,hometown
111,Mobilizon
76,hubzilla
74,lemmy
68,birdsitelive
58,microblogpub
55,plume
54,activityrelay
50,calckey
46,bookwyrm
27,activity-relay
25,gancio
25,foundkey
20,Owncast
17,aoderelay
13,gotosocial
13,gnusocial
12,ktistec
10,gitea
9,ecko
8,Immers Space
7,lotide
6,Friendica
5,mitra
4,honk
4,goblog
4,drupal
4,bonfire
3,groundpolis
3,fedibird
3,epicyon
3,cherrypick
3,brighteon
2,zap
2,wxwClub
2,takahe
2,smithereen
2,pub-relay
2,nginx
2,kbin
2,dolphin
2,Coma
1,woox
1,video4b_prtb
1,unciarelay
1,tksm
1,takesama
1,socialhome
1,sequel
1,selective-relay
1,revolver
1,reel2bits
1,psh
1,pelican-activitypub
1,p3k
1,notestock
1,n/a
1,moodlenet
1,lubargw2
1,kotori
1,guac.live
1,groundpolis-milkey
1,glitchcafe
1,feditools-relay
1,federated
1,circle
1,castling.club
1,barkshark-social
1,areionskey
1,acropolis
1,Turkum
1,Sweati Test Server
1,Simple Social Network
1,PubGate
1,Pleroma
1,Ohagi
1,Juick
1,Guppe Groups
1,GORF Network - Activity Pub
1,ContentNation
1,Calckey
1,Bacn
1,Anfora
